quintové|quin-to-vé|Ave paseriforme de Sudamérica, de 26 cms. de longitud, con el lomo pardo, el pecho y la cola amarilla y una mancha blanca en la cabeza;;;
quintuple|quin-tu-ple|Que contiene un número cinco veces exactamente;;;
quíntuple|quín-tu-ple|Que contiene un número cinco veces exactamente;;;
quíntuplo|quín-tu-plo|Que contiene un número cinco veces exactamente;;;
quinzavo|quin-za-vo|Cada una de las quince partes iguales en que se divide un todo;;;
quiosco|quios-co|Pabellón pequeño construido en parajes públicos;;;
quioscos|quios-cos|Pequeñas construcciones instaladas en la vía pública para vender periódicos, flores, etc.;;;
quiragra|qui-ra-gra|Gota de las manos;;;
quirófano|qui-ró-fa-no|Recinto destinado a operaciones quirúrgicas;;;
quiroga|qui-ro-ga|(Juan Facundo ~) Militar argentino, uno de los principales caudillos federales (1793-1835);;;
quirurgo|qui-rur-go|Cirujano;;;
quisicosa|qui-si-co-sa|Fam. Enigma u objeto de pregunta muy dudosa y difícil de averiguar;;;
quístico|quís-ti-co|Perteneciente o relativo a los quistes;;;
quitapón|qui-ta-pón|(De ~) De poner y sacar;;;
quitapón|qui-ta-pón|(De) De poner y sacar;;;
quitasol|qui-ta-sol|Parasol, sombrilla;;;
quiteño|qui-te-ño|De Quito, ciudad del Ecuador;;;
quite|qui-te|Acción de quitar;;;
quitinoso|qui-ti-no-so|De la naturaleza de la quitina o formado por quitina;;;
quito|qui-to|Ciudad capital de la república de Ecuador;;;
Quito|qui-to|Ciudad capital de la república de Ecuador;;;
quitrín|qui-trín|Amér. Carruaje abierto, de dos ruedas, con una sola fila de asientos, y cubierta de fuelle;;;
quizás|qui-zás|Tal vez;;;
quórum|quó-rum|Número mínimo de votos necesarios en casos determinados para dar validez a una elección o a un acuerdo;;;
rabadilla|ra-ba-di-lla|En las aves, extremidad movible en donde están las plumas de la cola;;;
rabanal|ra-ba-nal|Terreno plantado de rábanos;;;
rabas|ra-bas|Calamares fritos;;;
rabieta|ra-bie-ta|Fig. Enfado grande y de poca duración;;;
rabillo|ra-bi-llo|Ángulo que forma el ojo en el extremo donde se unen ambos párpados;;;
rabioso|ra-bio-so|Hidrófobo, que padece rabia;;;
rabonear|ra-bo-ne-ar|Dejar de asistir a alguna parte contra lo debido o acostumbrado;;;
raboseado|ra-bo-se-a-do|Dicho del papel: ensuciado por el exceso de tinta o defectuoso a causa de manchas durante la tirada;;;
racha|ra-cha|Fig. Período breve de fortuna;;;
racimo|ra-ci-mo|Grupo de uvas unidas al tallo;;;
racional|ra-cio-nal|Dotado de razón;;;
racionar|ra-cio-nar|Distribuir raciones;;;
raciones|ra-cio-nes|Porciones de comida que se reparten a personas o a animales;;;
ración|ra-ción|Porción que se da para alimento en cada comida a personas o a animales;;;
racismo|ra-cis-mo|Exaltación de la superioridad de la raza propia;;;
radiación|ra-dia-ción|Fís. Emisión de partículas de energía;;;
radiador|ra-dia-dor|Parte del automóvil en donde se refrigera el agua para evitar que hierva;;;
radiador|ra-dia-dor|Parte del automóvil en donde se refrigera el agua para que no hierva;;;
radial|ra-dial|De disposición análoga a la de los radios de una rueda;;;
radiante|ra-dian-te|Fig. Brillante, resplandeciente;;;
radiar|ra-diar|Emitir música, noticias, etc., por radio;;;
radicado|ra-di-ca-do|Establecido, domiciliado en determinado lugar;;;
radical|ra-di-cal|Fig. Extremoso, tajante, intransigente;;;
radicante|ra-di-can-te|Bot. Que tiene la propiedad de generar raíces;;;
radicheta|ra-di-che-ta|Hortaliza de la familia de las asteráceas, de hojas verde oscuro y sabor ligeramente amargo, sus hojas se consumen en ensalada;;;
radicoso|ra-di-co-so|Que participa de la naturaleza de las raíces;;;
radícula|ra-dí-cu-la|Parte del embrión de la planta que al desarrollarse constituye la raíz;;;
radicular|ra-di-cu-lar|Relativo a las raíces;;;
radiólogo|ra-dió-lo-go|Especialista en las aplicaciones médicas de los rayos X;;;
radio|ra-dio|(Ra) Elemento químico, metal alcalinotérreo radiactivo;;;
ráfaga|rá-fa-ga|Movimiento violento del aire, generalmente de poca duración, que hiere repentinamente;;;
raigambre|rai-gam-bre|Conjunto de raíces de los vegetales, unidas y trabadas entre sí;;;
rajadura|ra-ja-du-ra|Raja, grieta, hendidura;;;
rajadura|ra-ja-du-raRaja, grieta, hendidura;;;
rajarse|ra-jar-se|Dividirse, partirse una cosa.// Amér. Escaparse;;;
rajatabla|ra-ja-ta-bla|(A ~) Por completo, con todo rigor;;;
rajatabla|ra-ja-ta-bla|(A) Por completo, con todo rigor;;;
ralentí|ra-len-tí|En automovilismo, marcha con el mínimo de revoluciones en el motor;;;
rallador|ra-lla-dor|Utensilio de cocina con el cual se frota o raspa el pan, el queso, etc., para desmenuzarlos;;;
ralladura|ra-lla-du-ra|Lo que queda rallado;;;
rally|ra-lly|Competición deportiva consistente en una carrera, con cualquier medio de locomoción, en la cual se han de realizar además diversas pruebas;;;
ramadán|ra-ma-dán|Noveno mes del año lunar de los mahometanos, durante el cual observan riguroso ayuno;;;
ramazón|ra-ma-zón|Conjunto de ramas separadas de los árboles;;;
rambla|ram-bla|Avenida o paseo a orillas del mar;;;
rameado|ra-me-a-do|Dibujo que representa ramos, especialmente en tejidos, papeles, etc.;;;
ramillete|ra-mi-lle-te|Ramo pequeño formado artificialmente;;;
rampa|ram-pa|Plano inclinado dispuesto para subir y bajar por él.;;;
rampollo|ram-po-llo|Rama que se corta del árbol para plantarla;;;
ramsés|ram-sés|(~ II) Faraón egipcio, tercer gobernante de la XIX Dinastía, hijo de Seti I (1298-1235 a.C.);;;
rancajo|ran-ca-jo|Punta o astilla que se clava en la carne;;;
ranchera|ran-che-ra|Baile popular de ritmo ternario originario de Argentina;;;
rancherío|ran-che-rí-o|Conjunto de ranchos o chozas que forman como un lugar;;;
rancho|ran-cho|Fig. Choza fuera de poblado, con techumbre de ramas o paja;;;
randolph|ran-dolph|(William ~ Hearst) Editor y político estadounidense que creó la mayor cadena nacional de periódicos (1863-1951);;;
rapavelas|ra-pa-ve-las|Vulg. Sacristán, monaguillo u otro dependiente de una iglesia;;;
rapé|ra-pé|Tabaco en polvo, más grueso y más oscuro que el ordinario y elaborado con hoja cortada algún tiempo después de madurar;;;
rapidez|ra-pi-dez|Movimiento acelerado o velocidad impetuosa;;;
rápidos|rá-pi-dos|Sectores torrentosos de los ríos;;;
raposera|ra-po-se-ra|Cueva de zorros;;;
rapsoda|rap-so-da|En la antigua Grecia, persona que iba de pueblo en pueblo recitando poemas;;;
rapsodia|rap-so-dia|Pieza musical formada con fragmentos de otras obras o con trozos de aires populares;;;
raquetero|ra-que-te-ro|Persona que tiene por oficio hacer o vender raquetas;;;
raquídeo|ra-quí-de-o|Biol. Perteneciente o relativo al raquis;;;
raquis|ra-quis|Columna vertebral;;;
raramente|ra-ra-men-te|Con rareza, rara vez;;;
rareza|ra-re-za|Cosa rara;;;
rarísimo|ra-rí-si-mo|Muy raro;;;
raro|ra-ro|Poco común o poco frecuente;;;
raro|ra-roPoco común o poco frecuente;;;
rasante|ra-san-te|Que pasa rasando;;;
rasgadura|ras-ga-du-ra|Rasgón, rotura de un vestido o tela;;;
rasgón|ras-gón|Rotura de un vestido o tela;;;
rasguear|ras-gue-ar|Tañer la guitarra rozando con cierta velocidad varias cuerdas a la vez con las puntas de los dedos;;;
raspadura|ras-pa-du-ra|Lesión o erosión superficial causada por un roce violento;;;
raspilla|ras-pi-lla|Planta herbácea de la familia de las Borragináceas, con flores azules llamadas nomeolvides;;;
rasposo|ras-po-so|Que es áspero al tacto;;;
rasputín|ras-pu-tín|(Grigori ~) Místico ruso con una gran influencia en los últimos días de la Dinastía Romanov, conocido como ¨el Monje Loco¨;;;
rasqueta|ras-que-ta|Chapa de hierro con dientes romos, para limpiar las caballerías;;;
rastra|ras-tra|Cinturón de cuero, grueso y ancho, decorado con monedas de plata, que usan los gauchos;;;
rastrear|ras-tre-ar|Seguir el rastro o buscar alguna cosa por él;;;
rastrero|ras-tre-ro|Que va arrastrando.// Fig. Bajo, vil y despreciable;;;
rastrillo|ras-tri-llo|Herramienta de jardín que sirve para recoger hierba, hojas, etc.;;;
rastrojo|ras-tro-jo|Residuo de las cañas de la mies, que queda en la tierra después de segar;;;
rastro|ras-tro|Vestigio o indicio que deja una cosa de haber acontecido o pasado por un lugar cualquiera;;;
rasurar|ra-su-rar|Afeitar, quitar la barba;;;
rataplán|ra-ta-plán|Voz onomatopéyica con que se imita el sonido del tambor;;;
ratería|ra-te-rí-a|Hurto de cosas de poco valor;;;
ratero|ra-te-ro|Ladrón que hurta con maña y cautela cosas de poco valor;;;
ratificar|ra-ti-fi-car|Reafirmar, confirmar, corroborar;;;
ratonera|ra-to-ne-ra|Madriguera de ratones;;;
raudal|rau-dal|Fig. Abundancia de cosas que de golpe concurren o se derraman;;;
ravioles|ra-vio-les|Trozos de masa que se rellenan con carne picada, verdura, ricota, etc., que se sirven con salsa y queso rallado;;;
rayadillo|ra-ya-di-llo|Tela de algodón rayada parecida al dril;;;
rayadura|ra-ya-du-ra|Acción y efecto de rayar;;;
ráyidos|rá-yi-dos|Familia de peces rayiformes que presentan el cuerpo dividido en disco y cola, como la raya;;;
rayuela|ra-yue-la|Juego que consiste en sacar un tejo de varias divisiones trazadas en el suelo al que se da con un pie, llevando el otro en el aire y cuidando de no pisar las rayas;;;
razonable|ra-zo-na-ble|Conforme a razón.// Fig. Mediano, regular, bastante en calidad o en cantidad;;;
razonar|ra-zo-nar|Discurrir, ordenando ideas en la mente para llegar a una conclusión;;;
razón|ra-zón|Facultad de discurrir;;;
reacción|re-ac-ción|Fís. Acción que un cuerpo sujeto a la acción de otro ejerce en sentido opuesto;;;
reactivar|re-ac-ti-var|Dar más actividad a algo;;;
reactivo|re-ac-ti-vo|Que produce reacción;;;
reactor|re-ac-tor|Motor de reacción;;;
reacuñar|re-a-cu-ñar|Resellar la moneda;;;
readapta|re-a-dap-ta|Adapta de nuevo;;;
readaptar|re-a-dap-tar|Adaptar de nuevo a una persona o cosa;;;
reafirmar|re-a-fir-mar|Ratificar, afirmar de nuevo;;;
reagrupa|re-a-gru-pa|Agrupa de nuevo;;;
reagrupar|re-a-gru-par|Agrupar de nuevo;;;
reajustar|re-a-jus-tar|Aumentar o disminuir la cuantía de precios, salarios, impuestos, etc.;;;
reajustar|re-a-jus-tarAumentar o disminuir la cuantía de precios, salarios, impuestos, etc.;;;
reajuste|re-a-jus-te|Aumento o disminución de la cuantía de precios, salarios, impuestos, etc. por motivos coyunturales económicos o políticos;;;
realce|re-al-ce|Adorno o labor que sobresale en la superficie de una cosa;;;
realeza|re-a-le-za|Aristocracia, gente emparentada con los monarcas;;;
realismo|re-a-lis-mo|Conducta del que se atiene a los hechos, en oposición a idealismo;;;
realista|re-a-lis-ta|Que se ajusta más a la realidad que a la abstracción;;;
realizar|re-a-li-zar|Hacer real o efectiva una cosa;;;
realmente|re-al-men-te|Efectivamente, en realidad;;;
real|re-al|Que tiene existencia verdadera y efectiva;;;
realzar|re-al-zar|Levantar o elevar una cosa más de lo que estaba;;;
reanimado|re-a-ni-ma-do|Confortado, que ha recuperado las fuerzas;;;
reanimar|re-a-ni-mar|Fig. Infundir ánimo y valor al que está abatido;;;
reanudar|re-a-nu-dar|Fig. Continuar después de haber interrumpido;;;
reaparece|re-a-pa-re-ce|Vuelve a aparecer;;;
rearmado|re-ar-ma-do|Ejército, país, etc., equipado con nuevo armamento;;;
rearmar|re-ar-mar|Equipar o reforzar con nuevo armamento un ejército, país, etc.;;;
reaseguro|re-a-se-gu-ro|Comparar una persona o cosa con otra, considerándolas o haciéndolas iguales o equivalentes;;;
reaseguro|re-a-se-gu-ro|Contrato por el cual un asegurador toma a su cargo  total o parcialmente  un riesgo ya cubierto por otro asegurador;;;
reaseguro|re-a-se-gu-ro|Contrato por el cual un asegurador toma a su cargo, total o parcialmente, un riesgo ya cubierto por otro asegurador;;;
reasumir|re-a-su-mir|Volver a asumir un cargo;;;
reavivado|re-a-vi-va-do|Vivificado, vuelto a avivar;;;
reavivar|re-a-vi-var|Volver a avivar o avivar intensamente;;;
rebajado|re-ba-ja-do|Que le han bajado el precio;;;
rebajar|re-ba-jar|Disminuir, bajar el precio;;;
rebanada|re-ba-na-da|Porción delgada, ancha y larga que se saca de una cosa, especialmente del pan;;;
rebanar|re-ba-nar|Cortar en rebanadas;;;
rebasar|re-ba-sar|Pasar o exceder de ciertos límites;;;
rebelde|re-bel-de|Indócil, desobediente;;;
rebelión|re-be-lión|Sublevación, delito contra el orden público;;;
rebencazo|re-ben-ca-zo|Golpe dado con el rebenque;;;
rebenque|re-ben-que|Látigo de cuero o cáñamo;;;
rebombar|re-bom-bar|Sonar ruidosa o estrepitosamente;;;
reborde|re-bor-de|Faja estrecha y saliente a lo largo del borde de alguna cosa;;;
rebosante|re-bo-san-te|Fig. Abundante en demasía;;;
rebotar|re-bo-tar|Botar repetidamente un cuerpo elástico al chocar con otro cuerpo;;;
rebotica|re-bo-ti-ca|Trastienda, pieza que está detrás de la principal de la botica;;;
rebozar|re-bo-zar|Fig. Bañar una vianda en huevo batido, harina, miel, etc.;;;
rebrotar|re-bro-tar|Retoñar, volver a echar vástagos la planta;;;
rebrote|re-bro-te|Vástago que echa de nuevo la planta;;;
rebuscado|re-bus-ca-do|Falto de efectividad por complicado;;;
rebuscar|re-bus-car|Escudriñar o buscar una cosa repetidamente o con mucha minuciosidad;;;
rebuscar|re-bus-carEscudriñar o buscar una cosa repetidamente o con mucha minuciosidad;;;
rebusque|re-bus-que|Fam. Solución, ocasional e ingeniosa, con que se sortean las dificultades cotidianas;;;
rebuznar|re-buz-nar|Dar voces el asno;;;
rebuzno|re-buz-no|Voz del asno;;;
recabar|re-ca-bar|Alcanzar, conseguir con instancias o súplicas lo que se desea;;;
recadero|re-ca-de-ro|Persona que tiene el oficio de llevar recados;;;
recado|re-ca-do|Amér. Conjunto de piezas que componen la montura de los campesinos;;;
recaída|re-ca-í-da|Acción de caer nuevamente enfermo de la misma dolencia el que estaba convaleciendo;;;
recalca|re-cal-ca|Fig. y fam. Repite una cosa muchas veces y con énfasis;;;
recalcar|re-cal-car|Fig. y fam. Repetir una cosa muchas veces y con énfasis;;;
recamado|re-ca-ma-do|Bordado de realce;;;
recámara|re-cá-ma-ra|En las armas de fuego, lugar en el cual se coloca el cartucho;;;
recambiar|re-cam-biar|Reemplazar en una máquina alguna de sus piezas;;;
recargado|re-car-ga-do|Sobrepasado de trabajo;;;
recargo|re-car-go|Aumento sobre un precio o una cuota;;;
recatado|re-ca-ta-do|Circunspecto, cauto;;;
recaudar|re-cau-dar|Cobrar o percibir caudales o efectos;;;
recaudar|re-cau-darCobrar o percibir caudales o efectos;;;
recaudo|re-cau-do|(A buen ~) Bien custodiado, con seguridad;;;
recelo|re-ce-lo|Desconfianza, miedo, temor;;;
receloso|re-ce-lo-so|Desconfiado, miedoso;;;
recensor|re-cen-sor|Persona que hace una recensión o reseña;;;
recepción|re-cep-ción|Reunión con carácter de fiesta que se celebra en algunas casas particulares;;;
receptar|re-cep-tar|Ocultar o encubrir delincuentes o cosas que son materia de delito;;;
receptor|re-cep-tor|Med. Persona a la que se le ha transplantado un órgano;;;
recesión|re-ce-sión|Econ. Aminoramiento de la actividad económica, con la consiguiente falta de dinero;;;
recesivo|re-ce-si-vo|Econ. Que tiende a la recesión o la provoca;;;
receso|re-ce-so|Intermedio, pausa en un espectáculo;;;
recetario|re-ce-ta-rio|Libro que contiene fórmulas para la preparación de diversos productos;;;
rechazar|re-cha-zar|Rehusar, no admitir lo que propone u ofrece;;;
rechazo|re-cha-zo|Med. Reacción de intolerancia de un organismo respecto a un trasplante;;;
rechifla|re-chi-fla|Silba con insistencia;;;
rechiflar|re-chi-flar|Silbar con insistencia;;;
rechinar|re-chi-nar|Hacer una cosa un sonido desapacible por frotar con otra;;;
rechoncho|re-chon-cho|Aparato autónomo sumergible que permite explorar las profundidades del mar;;;
rechoncho|re-chon-cho|Fam. Persona o animal grueso y de poca altura;;;
rechupete|re-chu-pe-te|(De ~) Fam. Muy exquisito y agradable;;;
rechupete|re-chu-pe-te|(De) Fam. Muy exquisito y agradable;;;
reciario|re-cia-rio|Gladiador que lanzaba una red sobre su adversario a fin de envolverle para inmovilizarlo;;;
recibido|re-ci-bi-do|Que ha obtenido el título para ejercer alguna facultad o profesión;;;
recibidor|re-ci-bi-dor|Vestíbulo de entrada de una vivienda;;;
recibí|re-ci-bí|Expresión con que en los recibos u otros documentos se declara haber recibido aquello de que se trata;;;
recibo|re-ci-bo|Escrito o resguardo firmado en que se declara haber recibido dinero u otra cosa;;;
reciclaje|re-ci-cla-je|Acción y efecto de transformar o aprovechar algo para un nuevo uso o destino;;;
reciclar|re-ci-clar|Transformar o aprovechar algo para un nuevo uso o destino;;;
reciente|re-cien-te|Que acaba de suceder;;;
récipe|ré-ci-pe|Receta  prescripción;;;
recíproco|re-cí-pro-co|Mutuo  igual en la correspondencia de uno a otro;;;
recíproco|re-cí-pro-co|Mutuo, igual en la correspondencia de uno a otro;;;
recitado|re-ci-ta-do|Forma musical que es un medio entre la declamación y el canto;;;
recitado|re-ci-ta-do|Mús. Composición musical que se usa en las poesías narrativas y en los diálogos, intermedia entre la declamación y el canto;;;
recital|re-ci-tal|Concierto en que un artista ejecuta varias obras musicales;;;
reclamar|re-cla-mar|Pedir o exigir con derecho o con instancia una cosa;;;
reclamo|re-cla-mo|Propaganda, anuncio, publicidad;;;
recluirse|re-cluir-se|Encerrarse, recogerse;;;
reclusión|re-clu-sión|Encierro o prisión voluntaria o forzada;;;
recluso|re-clu-so|Persona que cumple condena en un establecimiento penitenciario;;;
recobrar|re-co-brar|Recuperar lo que antes se tenía;;;
recocer|re-co-cer|Volver a cocer o cocer mucho una cosa;;;
recocina|re-co-ci-na|Cuarto contiguo a la cocina para desahogo de ella;;;
recoleto|re-co-le-to|Religioso que guarda recolección;;;
recóndito|re-cón-di-to|Muy escondido, reservado y oculto;;;
recóndito|re-cón-di-to|uy escondido, reservado y oculto;;;
reconocer|re-co-no-cer|Confesarse culpable de un error, falta, etc.;;;
recopilar|re-co-pi-lar|Juntar en compendio, recoger o unir diversas cosas, especialmente escritos literarios;;;
recordar|re-cor-dar|Traer a la memoria;;;
recordman|re-cord-man|Galic. Hombre que ha conseguido realizar un récord deportivo;;;
record|re-cord|Hazaña deportiva que excede a las realizadas anteriormente en el mismo género;;;
récord|ré-cord|Hazaña deportiva que excede a las realizadas anteriormente en el mismo género;;;
recorrer|re-co-rrer|Atravesar de un cabo a otro un espacio determinado;;;
recorrido|re-co-rri-do|Espacio que recorre o ha de recorrer una persona o cosa;;;
recortes|re-cor-tes|Porciones excedentes que por medio de un instrumento cortante se separan de una materia hasta reducirla a la forma que conviene;;;
recoveco|re-co-ve-co|Lugar oculto o apartado, escondrijo;;;
recovero|re-co-ve-ro|Persona que se dedica a la compra y venta de huevos, gallinas, etc.;;;
recreo|re-cre-o|Intervalo entre clase y clase, en el que los niños juegan o descansan;;;
recrimina|re-cri-mi-na|Reprende, censura a una persona por su comportamiento;;;
recrudece|re-cru-de-ce|Toma nuevo incremento un mal físico o moral o un afecto o cosa desagradable;;;
recrujido|re-cru-ji-do|Acción de crujir mucho o repetidamente;;;
recrujir|re-cru-jir|Crujir mucho o repetidamente;;;
rectitud|rec-ti-tud|Fig. Calidad de recto o justo;;;
rectorado|rec-to-ra-do|Oficio y oficina del rector;;;
Rector|rec-tor|Director de una escuela;;;
recuadro|re-cua-dro|En los periódicos, espacio encerrado por líneas para hacer resaltar una noticia;;;
recua|re-cua|Fig. Muchedumbre de personas o cosas que van o siguen unas detrás de otras;;;
recuento|re-cuen-to|Escrutinio.// Segunda cuenta que se hace de una cosa;;;
recuerdo|re-cuer-do|Fig. Cosa que se regala en testimonio de buen afecto;;;
recuesta|re-cues-ta|Requerimiento, intimación;;;
recuperar|re-cu-pe-rar|Recobrar, volver a tomar o adquirir lo que antes se tenía o poseía;;;
recurso|re-cur-so|Medio para conseguir algo en caso de apuro;;;
recursos|re-cur-sos|Medios para conseguir algo en caso de apuro;;;
recusar|re-cu-sar|Rechazar, negarse a admitir una cosa;;;
redacción|re-dac-ción|Conjunto de redactores de un periódico, casa editorial, libro, etc.;;;
redactar|re-dac-tar|Poner por escrito relatos, noticias o una cosa pensada o acordada;;;
redactor|re-dac-tor|Persona que forma parte de una redacción en una revista, periódico, casa editorial, etc.;;;
redada|re-da-da|Operación policial consistente en apresar de una vez a un conjunto de personas;;;
redaya|re-da-ya|Red para pescar en los ríos;;;
redentor|re-den-tor|Que redime;;;
redhibir|red-hi-bir|Deshacer la venta el comprador, según derecho, por no haberle manifestado el vendedor el defecto o gravamen de la cosa vendida;;;
redicho|re-di-cho|Que habla pronunciando las palabras con una perfección afectada;;;
rediente|re-dien-te|Obra de fortificación, en forma de ángulo saliente, compuesta de dos caras de igual longitud;;;
redimido|re-di-mi-do|Librado de una obligación o castigo;;;
redimir|re-di-mir|Librar de una obligación o extinguirla;;;
redingote|re-din-go-te|Capote de poco vuelo y con mangas ajustadas;;;
réditos|ré-di-tos|Rentas, utilidades o beneficios que rinde un capital;;;
reditúa|re-di-tú-a|Rinde o produce utilidad;;;
redituar|re-di-tuar|Rendir o producir utilidad una cosa;;;
redivivo|re-di-vi-vo|Aparecido, resucitado;;;
redoblar|re-do-blar|Intensificar el esfuerzo o el interés;;;
redoblar|re-do-blarIntensificar el esfuerzo o el interés;;;
redoble|re-do-ble|Toque vivo y sostenido que se produce hiriendo rápidamente el tambor con los palillos;;;
redoblona|re-do-blo-na|R. de la Plata. En las carreras de caballos y ciertos juegos de azar, serie de lances combinados;;;
redomado|re-do-ma-do|Muy cauteloso y astuto;;;
redomón|re-do-món|Amér. Caballería no domado por completo;;;
redondear|re-don-de-ar|Poner redonda una cosa;;;
redondear|re-don-de-ar|Prescindir, en cantidades, de pequeñas diferencias en más o en menos, para tener en cuenta solamente unidades de orden superior;;;
redondel|re-don-del|Círculo o circunferencia;;;
redondo|re-don-do|De figura circular o esférica o semejante a ellas;;;
redopelo|re-do-pe-lo|Pasada que a contrapelo se hace con la mano al paño u otro tejido;;;
redopelo|re-do-pe-loPasada que a contrapelo se hace con la mano al paño u otro tejido;;;
redrojo|re-dro-jo|Cada uno de los racimos pequeños que van dejando atrás los vendimiadores;;;
redropelo|re-dro-pe-lo|Pasada a contrapelo;;;
redruejo|re-drue-jo|Racimo pequeño que van dejando atrás los vendimiadores;;;
reducción|re-duc-ción|Disminución, mengua, decrecimiento;;;
reducido|re-du-ci-do|Estrecho, pequeño;;;
reducidor|re-du-ci-dor|Argent.   Colomb.   Chile. Persona que comercia con objetos robados;;;
reducidor|re-du-ci-dor|Argent., Colomb., Chile. Persona que comercia con objetos robados;;;
reducir|re-du-cir|Disminuir, estrechar;;;
reducto|re-duc-to|Fig. Paraje natural en el que se conservan especies raras o en extinción;;;
redundar|re-dun-dar|Resultar, venir a parar una cosa en beneficio o daño de alguno;;;
reelabora|re-e-la-bo-ra|Vuelve a elaborar;;;
reelecto|re-e-lec-to|Elegido nuevamente;;;
reelegir|re-e-le-gir|Volver a elegir;;;
reembolso|re-em-bol-so|(Contra ~) Envío de una mercancía cuyo importe debe pagar el destinatario en el momento de recibirla;;;
reemplazo|re-em-pla-zo|Sustitución de una persona o cosa por otra;;;
reensayar|re-en-sa-yar|Volver a ensayar;;;
reentrada|re-en-tra-da|Acción de entrar de nuevo en un espacio del que se había salido;;;
reenviar|re-en-vi-ar|Enviar alguna cosa que se ha recibido;;;
reenviar|re-en-viar|Enviar alguna cosa que se ha recibido;;;
reenvite|re-en-vi-te|Envite que se hace sobre otro;;;
reestreno|re-es-tre-no|Acción y efecto de volver a representar una obra teatral o cinematográfica pasado algún tiempo de su estreno;;;
reexpedir|re-ex-pe-dir|Expedir una cosa que se ha recibido;;;
refacción|re-fac-ción|Compostura, reparación;;;
referente|re-fe-ren-te|Que hace referencia a una cosa;;;
referirse|re-fe-rir-se|Nombrar un orador a una persona o a sus hechos, doctrinas u opiniones;;;
refilón|re-fi-lón|(De) Oblicuamente.// Fig. De paso;;;
refinería|re-fi-ne-rí-a|Complejo industrial donde se refina un producto;;;
reflector|re-flec-tor|Aparato para reflejar los rayos luminosos;;;
reflejo|re-fle-jo|Acto que obedece a excitaciones no percibidas por la conciencia;;;
reflejos|re-fle-jos|Reacciones rápidas ante sucesos imprevistos;;;
reflexión|re-fle-xión|Acción y efecto de reflexionar;;;
reflexivo|re-fle-xi-vo|Acostumbrado a hablar y a obrar con reflexión;;;
reflorece|re-flo-re-ce|Vuelve a echar flores una planta;;;
reformado|re-for-ma-do|Modificado con la intención de mejorarlo;;;
reforma|re-for-ma|Lo que se propone, proyecta o ejecuta como innovación o mejora en alguna cosa;;;
reformar|re-for-mar|Modificar algo, por lo general con la intención de mejorarlo;;;
reforzado|re-for-za-do|Engrosado, fortalecido;;;
reforzar|re-for-zar|Fortalecer  reparar o engrosar una cosa;;;
reforzar|re-for-zar|Fortalecer, reparar o engrosar una cosa;;;
refrán|re-frán|Dicho agudo y sentencioso de uso común;;;
refrendar|re-fren-dar|Afirmar algo o corroborarlo;;;
refrescar|re-fres-car|Templarse, moderarse el calor del aire;;;
refresco|re-fres-co|Bebida fría;;;
refriega|re-frie-ga|Combate de menos importancia que la batalla;;;
refrigera|re-fri-ge-ra|Refresca modera el calor;;;
refucilo|re-fu-ci-lo|Relámpago, chispa producida por la descarga eléctrica entre dos nubes o entre una nube y el suelo;;;
refuerzo|re-fuer-zo|Mayor grueso dado a una cosa, para hacerla más resistente;;;
refugiado|re-fu-gia-do|Persona que a causa de guerras, revoluciones, etc., busca asilo en país extranjero;;;
refulgir|re-ful-gir|Resplandecer, emitir fulgor;;;
refunfuño|re-fun-fu-ño|Gruñido, bufido, protesta, murmuración, reproche, queja, lamento;;;
regadera|re-ga-de-ra|Vasija portátil a propósito para echar agua a las plantas;;;
regadío|re-ga-dí-o|Terreno dedicado a cultivos que se fertilizan con riego;;;
regadíos|re-ga-dí-os|Terrenos dedicados a cultivos que se fertilizan con riego;;;
regalo|re-ga-lo|Obsequio, presente, dádiva;;;
regañona|re-ga-ño-na|Mujer proclive a regañar sin motivo suficiente;;;
regata|re-ga-ta|Competición deportiva de embarcaciones;;;
regatear|re-ga-te-ar|Debatir el comprador y el vendedor, el precio de una cosa;;;
regatón|re-ga-tón|Especie de contera que se pone en el extremo inferior de las lanzas, bastones, etc., para mayor firmeza;;;
regentear|re-gen-te-ar|Dirigir un comercio sin ser el dueño;;;
regidoría|re-gi-do-rí-a|Oficio de regidor;;;
regiones|re-gio-nes|Espacios determinados del cuerpo;;;
registrar|re-gis-trar|Inspeccionar, revisar, observar, controlar;;;
registro|re-gis-tro|Libro o cuaderno en que se anotan regularmente cierto orden de cosas;;;
regocijar|re-go-ci-jar|Alegrar, festejar;;;
regocijo|re-go-ci-jo|Júbilo, alegría;;;
regodear|re-go-de-ar|(~se) Alegrarse de la desgracia ajena;;;
regolfo|re-gol-fo|Vuelta o retroceso del agua o del viento contra su curso;;;
regresar|re-gre-sar|Volver al lugar de donde se partió;;;
regresión|re-gre-sión|Retroceso, movimiento hacia atrás;;;
regresivo|re-gre-si-vo|Que hace volver hacia atrás;;;
regreso|re-gre-so|Retroceso, acción de regresar;;;
reguero|re-gue-ro|Señal continuada que queda de una cosa que se va vertiendo;;;
regulado|re-gu-la-do|Ajustado y conforme a regla;;;
regulador|re-gu-la-dor|Mecanismo para regular el movimiento o los efectos de una máquina o de alguna de sus piezas;;;
regulador|re-gu-la-dor|Mecanismo para regular el movimiento o los efectos de una máquina o de algunas piezas;;;
regular|re-gu-lar|Ni bueno ni malo, de calidad intermedia;;;
rehacer|re-ha-cer|Volver a hacer lo que se había deshecho;;;
