acertar|a-cer-tar|Dar en el punto previsto o propuesto;;;
acertijo|a-cer-ti-jo|Especie de enigma para entretenerse en acertarlo;;;
aceruelo|a-ce-rue-lo|Especie de albardilla para cabalgar;;;
aceruelo|a-ce-rue-loEspecie de albardilla para cabalgar;;;
acervo|a-cer-vo|Conjunto de bienes morales o culturales acumulados por tradición o herencia;;;
acescente|a-ces-cen-te|Que se agria o empieza a agriarse;;;
acetábulo|a-ce-tá-bu-lo|Cavidad de un hueso en que encaja otro;;;
acetamida|a-ce-ta-mi-da|Quím. Amida del ácido acético utilizada en la síntesis orgánica industrial;;;
acetato|a-ce-ta-to|Sal o éter del ácido acético;;;
acético|a-cé-ti-co|Relativo al vinagre;;;
acetileno|a-ce-ti-le-no|Hidrocarburo gaseoso que arde con llama muy brillante y se emplea para el alumbrado y en la soldadura;;;
acetilo|a-ce-ti-lo|Radical orgánico correspondiente al ácido acético;;;
acetona|a-ce-to-na|Líquido incoloro, inflamable, volátil, de olor característico, empleado como disolvente de lacas, barnices, pinturas, etc.;;;
acetosa|a-ce-to-sa|Acedera, planta poligonácea, de tallo fistuloso y hojas de sabor ácido, que se emplean como condimento;;;
acetoso|a-ce-to-so|Ácido, que sabe a vinagre;;;
acetre|a-ce-tre|Caldero pequeño en que se lleva el agua bendita para las aspersiones;;;
Acetre|a-ce-tre|Caldero pequeño en que se lleva el agua bendita para las aspersiones;;;
acevedo|a-ce-ve-do|(Eduardo ~ Díaz) Escritor y político uruguayo (1851-1921);;;
Acevedo|a-ce-ve-do|(Eduardo ~ Díaz) Escritor y político uruguayo, (1851-1921);;;
acezante|a-ce-zan-te|Anhelante, ansioso;;;
achacar|a-cha-car|Atribuir, imputar algo a uno;;;
achacoso|a-cha-co-so|Indispuesto, levemente enfermo;;;
achalay|a-cha-lay|Argent., Ecuad. Interjección con que se denota, a menudo irónicamente, admiración por lo lindo o bonito;;;
achaque|a-cha-que|Enfermedad o indisposición habitual;;;
achaques|a-cha-ques|Indisposiciones habituales;;;
achares|a-cha-res|Celos, disgusto, pena;;;
acharolar|a-cha-ro-lar|Barnizar algo con charol;;;
achatado|a-cha-ta-do|Aplastado, aplanado;;;
achicable|a-chi-ca-ble|Que puede achicarse;;;
achicador|a-chi-ca-dor|Mar. Especie de cucharón de madera que sirve para achicar el agua en los botes;;;
achicar|a-chi-car|Disminuir el tamaño de una cosa;;;
achicoria|a-chi-co-ria|Planta compuesta de hojas y raíces amargas que se usan como febrífugo y estomacal;;;
achinado|a-chi-na-do|Persona que por los rasgos de su rostro se parece a los naturales de China;;;
achiotal|a-chio-tal|Terreno plantado de achiotes;;;
achiote|a-chio-te|Nombre común de un árbol de la familia de las Bixáceas que crece en las regiones cálidas de América, también llamado bija;;;
achiotera|a-chio-te-ra|P. Rico. Vasija destinada a contener achiote;;;
achique|a-chi-que|Acción y efecto de achicar;;;
achira|a-chi-ra|Amér. Planta alismácea de América meridional, de tallo nudoso y flor colorada;;;
